rank,personName,age,finalWorth,year,month,category,country,state,city,countryOfCitizenship,selfMade,gender,birthDate,title,philanthropyScore
56,Cyrus Poonawalla,80,24300,2022,4,Healthcare,India,,Pune,India,FALSE,M,11-05-1941,,
56,Wang Wei,51,24300,2022,4,Service,China,,Shenzhen,China,TRUE,M,01-10-1970,,
59,Qin Yinglin,56,24100,2022,4,Food & Beverage,China,,Nanyang,China,TRUE,M,17-04-1965,,
60,Sam Bankman-Fried,30,24000,2022,4,Finance & Investments,Bahamas,,Nassau,United States,TRUE,M,05-03-1992,Founder,1
61,Takemitsu Takizaki,76,23900,2022,4,Manufacturing,Japan,,Osaka,Japan,TRUE,M,10-06-1945,,
62,Li Shufu,58,23700,2022,4,Automotive,China,,Hangzhou,China,TRUE,M,01-06-1963,,
63,Emmanuel Besnier,51,23500,2022,4,Food & Beverage,France,,Laval,France,FALSE,M,18-09-1970,,
64,R. Budi Hartono,81,23200,2022,4,Finance & Investments,Indonesia,,Kudus,Indonesia,FALSE,M,01-01-1941,,
65,Leonard Lauder,89,23100,2022,4,Fashion & Retail,United States,New York,New York,United States,FALSE,M,19-03-1933,Chairman Emeritus ,2
66,Guillaume Pousaz,40,23000,2022,4,Finance & Investments,,,,Switzerland,TRUE,M,15-08-1981,,
67,Iris Fontbona & family,79,22800,2022,4,Metals & Mining,Chile,,Santiago,Chile,FALSE,F,01-01-1943,,
67,Jack Ma,57,22800,2022,4,Technology,China,,Hangzhou,China,TRUE,M,10-09-1964,Founder and Executive Chairman,
69,Michael Hartono,82,22300,2022,4,Manufacturing,Indonesia,,Kudus,Indonesia,FALSE,M,02-10-1939,,
70,Eric Schmidt,66,22100,2022,4,Technology,United States,California,Atherton,United States,TRUE,M,27-04-1955,,2
71,Ray Dalio,72,22000,2022,4,Finance & Investments,United States,Connecticut,Greenwich,United States,TRUE,M,08-08-1949,Founder & Co-Chief Investment Officer,2
71,Daniel Gilbert,60,22000,2022,4,Finance & Investments,United States,Michigan,Franklin,United States,TRUE,M,17-01-1962,,1
73,"Thomas Frist, Jr. & family",83,21800,2022,4,Healthcare,United States,Tennessee,Nashville,United States,TRUE,M,12-08-1938,,1
74,Masayoshi Son,64,21300,2022,4,Telecom,Japan,,Tokyo,Japan,TRUE,M,11-08-1957,CEO,
75,Abigail Johnson,60,21200,2022,4,Finance & Investments,United States,Massachusetts,Milton,United States,FALSE,F,19-12-1961,Chairman & CEO,1
76,Rupert Murdoch & family,91,20800,2022,4,Media & Entertainment,United States,New York,New York,United States,FALSE,M,11-03-1931,Chairman and CEO,1
77,Stefan Quandt,55,20700,2022,4,Automotive,Germany,,Frankfurt,Germany,FALSE,M,09-05-1966,,
78,Jensen Huang,59,20600,2022,4,Technology,United States,California,Los Altos,United States,TRUE,M,17-02-1963,CEO & President,1
79,Huang Shilin,55,20300,2022,4,Automotive,China,,Ningde,China,TRUE,M,01-01-1967,,
80,Thomas Peterffy,77,20100,2022,4,Finance & Investments,United States,Florida,Palm Beach,United States,TRUE,M,30-09-1944,,1
81,Radhakishan Damani,67,20000,2022,4,Fashion & Retail,India,,Mumbai,India,TRUE,M,01-01-1955,,
82,Pang Kang,66,19600,2022,4,Food & Beverage,China,,Foshan,China,TRUE,M,19-01-1956,,
83,Wang Chuanfu,56,19500,2022,4,Automotive,China,,Shenzhen,China,TRUE,M,15-02-1966,,
84,Reinhold Wuerth & family,86,19000,2022,4,Manufacturing,Germany,,Kuenzelsau,Germany,TRUE,M,20-04-1935,,
85,"Theo Albrecht, Jr. & family",71,18700,2022,4,Fashion & Retail,Germany,,Mulheim an der Ruhr,Germany,FALSE,M,01-01-1951,,
85,Yang Huiyan & family,40,18700,2022,4,Real Estate,China,,Foshan,China,FALSE,F,27-09-1981,,
87,Vladimir Lisin,65,18400,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,07-05-1956,,
88,Fan Hongwei & family,55,18200,2022,4,Energy,China,,Wujiang,China,TRUE,F,01-01-1967,,
89,Lakshmi Mittal,71,17900,2022,4,Metals & Mining,United Kingdom,,London,India,FALSE,M,15-06-1950,Chairman and CEO,
90,Andrew Forrest,60,17800,2022,4,Metals & Mining,Australia,,Perth,Australia,TRUE,M,18-11-1961,,
91,Jiang Rensheng & family,68,17700,2022,4,Healthcare,China,,Chongqing,China,TRUE,M,08-10-1953,,
91,Savitri Jindal & family,72,17700,2022,4,Metals & Mining,India,,Hisar,India,FALSE,F,20-03-1950,,
91,Wang Wenyin,54,17700,2022,4,Metals & Mining,China,,Shenzhen,China,TRUE,M,01-01-1968,,
94,Li Xiting,71,17600,2022,4,Healthcare,China,,Shenzhen,Singapore,TRUE,M,01-01-1951,,
94,Stefan Persson,74,17600,2022,4,Fashion & Retail,Sweden,,Stockholm,Sweden,FALSE,M,04-10-1947,Chairman,
96,Steve Cohen,65,17400,2022,4,Finance & Investments,United States,Connecticut,Greenwich,United States,TRUE,M,11-06-1956,Founder,3
97,Vladimir Potanin,61,17300,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,03-01-1961,,
98,Harold Hamm & family,76,17200,2022,4,Energy,United States,Oklahoma,Oklahoma City,United States,TRUE,M,11-12-1945,Chairman and CEO,1
99,Sun Piaoyang,63,17100,2022,4,Healthcare,China,,Lianyungang,China,TRUE,M,01-09-1958,,
100,Luo Liguo & family,66,17000,2022,4,Manufacturing,China,,Ningbo,China,TRUE,M,01-03-1956,,
100,Peter Woo,75,17000,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,FALSE,M,05-09-1946,,
102,Gianluigi & Rafaela Aponte,81,16800,2022,4,Logistics,Switzerland,,Geneva,Switzerland,TRUE,,27-06-1940,,
103,David Tepper,64,16700,2022,4,Finance & Investments,United States,Florida,Palm Beach,United States,TRUE,M,11-09-1957,President and Founder,2
104,Renata Kellnerova & family,54,16600,2022,4,Finance & Investments,Czechia,,Prague,Czechia,FALSE,F,04-07-1967,,
104,"John Menard, Jr.",82,16600,2022,4,Fashion & Retail,United States,Wisconsin,Eau Claire,United States,TRUE,M,22-01-1940,Entrepreneur,1
106,Kumar Birla,54,16500,2022,4,Diversified,India,,Mumbai,India,FALSE,M,14-06-1967,,
106,Carl Icahn,86,16500,2022,4,Finance & Investments,United States,Florida,Indian Creek,United States,TRUE,M,16-02-1936,Founder,2
106,Hank & Doug Meijer,,16500,2022,4,Fashion & Retail,United States,Michigan,Grand Rapids,United States,FALSE,M,,,2
106,Lukas Walton,35,16500,2022,4,Fashion & Retail,United States,Wyoming,Jackson,United States,FALSE,M,19-09-1986,,2
110,Laurene Powell Jobs & family,58,16400,2022,4,Technology,United States,California,Palo Alto,United States,FALSE,F,06-11-1963,"Investor, Philanthropist",1
111,James Ratcliffe,69,16300,2022,4,Manufacturing,United Kingdom,,London,United Kingdom,TRUE,M,01-01-1953,,
112,Donald Bren,89,16200,2022,4,Real Estate,United States,California,Newport Beach,United States,TRUE,M,11-05-1932,Chairman,4
113,Xu Hang,55,16100,2022,4,Healthcare,China,,Shenzhen,Hong Kong,TRUE,M,22-05-1966,,
114,Lu Xiangyang,59,15700,2022,4,Automotive,China,,Guangzhou,China,TRUE,M,28-12-1962,,
115,Dilip Shanghvi,66,15600,2022,4,Healthcare,India,,Mumbai,India,TRUE,M,01-10-1955,,
116,Wei Jianjun & family,58,15500,2022,4,Automotive,China,,Baoding,China,TRUE,M,01-03-1964,,
117,Jorge Paulo Lemann & family,82,15400,2022,4,Food & Beverage,Switzerland,,Zurich,Brazil,TRUE,M,26-08-1939,"Investor, Philanthropist",
117,Eyal Ofer,71,15400,2022,4,Diversified,Monaco,,Monte Carlo,Israel,FALSE,M,02-06-1950,,
119,Mike Cannon-Brookes,42,15300,2022,4,Technology,Australia,,Sydney,Australia,TRUE,M,17-11-1979,,
119,Wu Yajun,58,15300,2022,4,Real Estate,China,,Beijing,China,TRUE,F,01-01-1964,Cofounder-chair,
121,Charlene de Carvalho-Heineken & family,67,15200,2022,4,Food & Beverage,United Kingdom,,London,Netherlands,FALSE,F,30-06-1954,,
121,Michael Platt,54,15200,2022,4,Finance & Investments,Switzerland,,Geneva,United Kingdom,TRUE,M,18-03-1968,Founder ,
123,Pavel Durov,37,15100,2022,4,Technology,United Arab Emirates,,Dubai,Russia,TRUE,M,10-10-1984,,
123,Scott Farquhar,42,15100,2022,4,Technology,Australia,,Sydney,Australia,TRUE,M,17-12-1979,,
125,Pallonji Mistry,92,15000,2022,4,Construction & Engineering,India,,Mumbai,Ireland,FALSE,M,01-06-1929,,
126,Dang Yanbao,49,14800,2022,4,Metals & Mining,China,,Yinchuan,China,TRUE,M,01-02-1973,,
127,Robert Pera,44,14600,2022,4,Technology,United States,California,San Jose,United States,TRUE,M,10-03-1978,Chief Executive Officer,1
128,Donald Newhouse,92,14400,2022,4,Media & Entertainment,United States,New York,New York,United States,FALSE,M,05-08-1929,,1
129,Uday Kotak,63,14300,2022,4,Finance & Investments,India,,Mumbai,India,TRUE,M,15-03-1959,,
130,Aliko Dangote,64,14000,2022,4,Manufacturing,Nigeria,,Lagos,Nigeria,TRUE,M,10-04-1957,CEO,
130,Leonid Mikhelson,66,14000,2022,4,Energy,Russia,,Moscow,Russia,TRUE,M,11-08-1955,,
132,Sunil Mittal & family,64,13900,2022,4,Telecom,India,,Delhi,India,TRUE,M,23-10-1957,,
133,Robert & Philip Ng,,13700,2022,4,Real Estate,Singapore,,Singapore,Singapore,FALSE,M,,,
134,Liu Hanyuan,58,13650,2022,4,Food & Beverage,China,,Chengdu,China,TRUE,M,01-01-1964,,
135,Joseph Lau,70,13600,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,21-07-1951,,
135,Anders Holch Povlsen,49,13600,2022,4,Fashion & Retail,Denmark,,Aarhus,Denmark,FALSE,M,04-11-1972,,
137,Dhanin Chearavanont,82,13500,2022,4,Diversified,Thailand,,Bangkok,Thailand,FALSE,M,19-04-1939,,
138,Gong Hongjia & family,57,13200,2022,4,Finance & Investments,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-01-1965,,
138,Liu Yongxing,73,13200,2022,4,Service,China,,Shanghai,China,TRUE,M,01-06-1948,Chairman,
138,Alexey Mordashov,56,13200,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,26-09-1965,,
138,Wang Jianlin,67,13200,2022,4,Real Estate,China,,Beijing,China,TRUE,M,01-10-1954,Chairman,
142,David Duffield,81,12900,2022,4,Technology,United States,Nevada,Incline Village,United States,TRUE,M,21-09-1940,Entrepreneur,2
142,Li Zhenguo & family,54,12900,2022,4,Manufacturing,China,,Xi'an,China,TRUE,M,01-01-1968,,
144,Harry Triguboff,89,12800,2022,4,Real Estate,Australia,,Sydney,Australia,TRUE,M,03-03-1933,,
144,Zhang Zhidong,50,12800,2022,4,Technology,China,,Shenzhen,China,TRUE,M,01-01-1972,,
146,Chen Bang,56,12700,2022,4,Healthcare,China,,Changsha,China,TRUE,M,01-09-1965,,
146,John Doerr,70,12700,2022,4,Technology,United States,California,Woodside,United States,TRUE,M,29-06-1951,Investor,2
146,Hinduja brothers,,12700,2022,4,Diversified,United Kingdom,,London,United Kingdom,FALSE,M,,,
149,Kwong Siu-hing,92,12600,2022,4,Real Estate,Hong Kong,,Hong Kong,Hong Kong,FALSE,F,02-12-1929,,
150,Pei Zhenhua,63,12500,2022,4,Energy,China,,Ningde,China,TRUE,M,01-01-1959,,
151,Ricardo Salinas Pliego & family,66,12400,2022,4,Fashion & Retail,Mexico,,Mexico City,Mexico,FALSE,M,19-10-1955,,
152,Jim Pattison,93,12200,2022,4,Diversified,Canada,,Vancouver,Canada,TRUE,M,01-10-1928,"Founder, Chairman and CEO",
152,Charles Schwab,84,12200,2022,4,Finance & Investments,United States,California,Woodside,United States,TRUE,M,29-07-1937,Investor,2
154,Goh Cheng Liang,94,12100,2022,4,Manufacturing,Singapore,,Singapore,Singapore,TRUE,M,27-06-1927,,
154,Lin Jianhua & family,59,12100,2022,4,Manufacturing,China,,Hangzhou,China,TRUE,M,01-08-1962,,
156,Charoen Sirivadhanabhakdi,77,12000,2022,4,Food & Beverage,Thailand,,Bangkok,Thailand,TRUE,M,02-05-1944,,
156,Jeff Yass,63,12000,2022,4,Finance & Investments,United States,Pennsylvania,Haverford,United States,TRUE,M,17-07-1958,,
158,John Fredriksen,77,11900,2022,4,Logistics,United Kingdom,,London,Cyprus,TRUE,M,01-02-1945,Investor,
158,Andreas Struengmann & family,72,11900,2022,4,Healthcare,Germany,,Tegernsee,Germany,TRUE,M,16-02-1950,,
158,Thomas Struengmann & family,72,11900,2022,4,Healthcare,Germany,,Tegernsee,Germany,TRUE,M,16-02-1950,,
161,Mikhail Fridman,57,11800,2022,4,Energy,United Kingdom,,London,Russia,TRUE,M,21-04-1964,,
161,Sarath Ratanavadi,56,11800,2022,4,Energy,Thailand,,Bangkok,Thailand,TRUE,M,12-07-1965,,
163,Robert Kuok,98,11700,2022,4,Diversified,Hong Kong,,Hong Kong,Malaysia,TRUE,M,06-10-1923,,
163,Lei Jun,52,11700,2022,4,Technology,China,,Beijing,China,TRUE,M,16-12-1969,Founder and CEO,
163,Zhang Congyuan,74,11700,2022,4,Fashion & Retail,,,,Taiwan,TRUE,M,01-01-1948,,
166,Lui Che Woo,93,11600,2022,4,Gambling & Casinos,Hong Kong,,Hong Kong,Hong Kong,TRUE,M,01-04-1929,,
167,Brian Chesky,40,11500,2022,4,Technology,United States,California,San Francisco,United States,TRUE,M,29-08-1981,CEO and Cofounder,1
167,Israel Englander,73,11500,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,30-09-1948,Founder,1
167,Dustin Moskovitz,37,11500,2022,4,Technology,United States,California,San Francisco,United States,TRUE,M,22-05-1984,Cofounder,3
167,Alisher Usmanov,68,11500,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,09-09-1953,Founder,
171,Jay Chaudhry,62,11400,2022,4,Technology,United States,Nevada,Reno,United States,TRUE,M,26-08-1959,,
171,Anthony Pratt,61,11400,2022,4,Manufacturing,Australia,,Melbourne,Australia,FALSE,M,11-04-1960,,
173,Colin Zheng Huang,42,11300,2022,4,Technology,China,,Shanghai,China,TRUE,M,02-02-1980,,
173,Jin Baofang,69,11300,2022,4,Energy,China,,Xingtai,China,TRUE,M,01-09-1952,,
173,Pierre Omidyar,54,11300,2022,4,Technology,United States,Hawaii,Honolulu,United States,TRUE,M,21-06-1967,Entrepreneur,3
173,Gennady Timchenko,69,11300,2022,4,Energy,Russia,,Moscow,Russia,TRUE,M,09-11-1952,,
177,Carl Cook,59,11100,2022,4,Healthcare,United States,Indiana,Bloomington,United States,FALSE,M,19-08-1962,,
177,Andrey Melnichenko,50,11100,2022,4,Metals & Mining,Russia,,Moscow,Russia,TRUE,M,08-03-1972,,
179,Xing Wang,43,11000,2022,4,Technology,China,,Beijing,China,TRUE,M,18-02-1979,,
180,Philip Anschutz,82,10900,2022,4,Finance & Investments,United States,Colorado,Denver,United States,FALSE,M,28-12-1939,,3
180,David Cheriton,71,10900,2022,4,Technology,United States,California,Palo Alto,Canada,TRUE,M,29-03-1951,Entrepreneur,
180,Alexander Otto,54,10900,2022,4,Real Estate,Germany,,Hamburg,Germany,FALSE,M,07-07-1967,,
183,Diane Hendricks,75,10700,2022,4,Construction & Engineering,United States,Wisconsin,Afton,United States,TRUE,F,02-03-1947,Entrepreneur,1
183,Stanley Kroenke,74,10700,2022,4,Sports,United States,Texas,Electra,United States,TRUE,M,29-07-1947,,
185,Jerry Jones,79,10600,2022,4,Sports,United States,Texas,Dallas,United States,TRUE,M,13-10-1942,President and General Manager,1
185,Quek Leng Chan,80,10600,2022,4,Diversified,Malaysia,,Kuala Lumpur,Malaysia,FALSE,M,12-08-1941,,
185,Eduardo Saverin,40,10600,2022,4,Technology,Singapore,,Singapore,Brazil,TRUE,M,19-03-1982,Investor,
188,Vagit Alekperov,71,10500,2022,4,Energy,Russia,,Moscow,Russia,TRUE,M,01-09-1950,,
188,Richard Qiangdong Liu,48,10500,2022,4,Technology,China,,Beijing,China,TRUE,M,10-03-1974,,
188,Idan Ofer,66,10500,2022,4,Diversified,United Kingdom,,London,Israel,FALSE,M,02-10-1955,,
191,Melker Schorling & family,74,10400,2022,4,Finance & Investments,Sweden,,Stockholm,Sweden,TRUE,M,15-05-1947,,
192,"Chase Coleman, III.",46,10300,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,21-06-1975,Investor,1
192,Shuirong Li,65,10300,2022,4,Manufacturing,China,,Hangzhou,China,TRUE,M,01-07-1956,,
192,Stefano Pessina,80,10300,2022,4,Fashion & Retail,Monaco,,Monte Carlo,Monaco,FALSE,M,04-06-1941,,
192,Mikhail Prokhorov,56,10300,2022,4,Finance & Investments,Russia,,Moscow,Russia,TRUE,M,03-05-1965,Owner,
192,Marcel Herrmann Telles,72,10300,2022,4,Food & Beverage,Brazil,,Sao Paulo,Brazil,TRUE,M,01-01-1950,,
197,Leon Black,70,10000,2022,4,Finance & Investments,United States,New York,New York,United States,TRUE,M,31-07-1951,,2
197,Joe Gebbia,40,10000,2022,4,Technology,United States,California,San Francisco,United States,TRUE,M,21-08-1981,Chief Product Officer & Cofounder,1
197,David Geffen,79,10000,2022,4,Media & Entertainment,United States,California,Beverly Hills,United States,TRUE,M,21-02-1943,Entrepreneur,2
197,Yu Renrong,56,10000,2022,4,Manufacturing,China,,Ningbo,China,TRUE,M,01-04-1966,,
201,Andrew Beal,69,9900,2022,4,Finance & Investments,United States,Texas,Dallas,United States,TRUE,M,29-11-1952,,
201,George Kaiser,79,9900,2022,4,Energy,United States,Oklahoma,Tulsa,United States,FALSE,M,29-07-1942,Chairman,4
201,Qi Shi & family,52,9900,2022,4,Technology,China,,Shanghai,China,TRUE,M,03-01-1970,,
201,Luis Carlos Sarmiento,89,9900,2022,4,Finance & Investments,Colombia,,Bogota,Colombia,TRUE,M,27-01-1933,,
201,Andreas von Bechtolsheim & family,66,9900,2022,4,Technology,United States,California,Palo Alto,Germany,TRUE,M,30-09-1955,Entrepreneur,
206,Jan Koum,46,9800,2022,4,Technology,United States,California,Atherton,United States,TRUE,M,24-02-1976,Entrepreneur,1
206,Jorge Moll Filho & family,77,9800,2022,4,Healthcare,Brazil,,Rio de Janeiro,Brazil,TRUE,M,01-01-1945,,
206,Azim Premji,76,9800,2022,4,Technology,India,,Bangalore,India,FALSE,M,24-07-1945,Chairman,
206,Finn Rausing,67,9800,2022,4,Food & Beverage,United Kingdom,,London,Sweden,FALSE,M,01-01-1955,,
206,Jorn Rausing,62,9800,2022,4,Food & Beverage,United Kingdom,,Surrey,Sweden,FALSE,M,01-01-1960,,
206,Kirsten Rausing,69,9800,2022,4,Food & Beverage,United Kingdom,,Newmarket,Sweden,FALSE,F,06-06-1952,,
206,Wang Laisheng,57,9800,2022,4,Technology,China,,Shenzhen,China,TRUE,M,14-12-1964,,
213,Tom & Judy Love,,9700,2022,4,Fashion & Retail,United States,Oklahoma,Oklahoma City,United States,TRUE,,,Chairman and CEO,1
214,John Collison,31,9500,2022,4,Technology,United States,California,San Francisco,Ireland,TRUE,M,06-08-1990,Entrepreneur,
214,Patrick Collison,33,9500,2022,4,Technology,United States,California,San Francisco,Ireland,TRUE,M,09-09-1988,Cofounder,
214,Gordon Moore,93,9500,2022,4,Technology,United States,California,Woodside,United States,TRUE,M,03-01-1929,Cofounder and Chairman Emeritus,5
214,Wang Laichun,54,9500,2022,4,Technology,China,,Shenzhen,China,TRUE,F,03-06-1967,,
218,Graeme Hart,66,9400,2022,4,Finance & Investments,New Zealand,,Auckland,New Zealand,TRUE,M,06-06-1955,,
218,Zheng Shuliang & family,76,9400,2022,4,Metals & Mining,China,,Binzhou,China,FALSE,F,01-01-1946,,
220,Cao Renxian,53,9300,2022,4,Energy,China,,Hefei,China,TRUE,M,24-07-1968,,
221,Nathan Blecharczyk,38,9200,2022,4,Technology,United States,California,San Francisco,United States,TRUE,M,11-06-1983,,
221,James Dyson,74,9200,2022,4,Manufacturing,United Kingdom,,Gloucestershire,United Kingdom,TRUE,M,02-05-1947,,
223,Ivan Glasenberg,65,9100,2022,4,Metals & Mining,Switzerland,,Ruschlikon,Switzerland,TRUE,M,07-01-1957,,
223,Kim Beom-su,56,9100,2022,4,Technology,South Korea,,Seoul,South Korea,TRUE,M,27-03-1966,Entrepreneur,
223,Jay Y. Lee,53,9100,2022,4,Diversified,South Korea,,Seoul,South Korea,FALSE,M,23-06-1968,Vice Chairman,
223,Liu Yonghao & family,70,9100,2022,4,Service,China,,Chengdu,China,TRUE,M,01-09-1951,,
227,Ann Walton Kroenke,73,9000,2022,4,Fashion & Retail,United States,Texas,Electra,United States,FALSE,F,18-12-1948,,1
